,CIK,TokenCount,TotalProportion
10K/1020569-10-K-20210224.txt,1020569,1055021.0,0.00016018639
10K/1020710-10-K-20210318.txt,1020710,180524.0,0.0006868893
10K/1021162-10-K-20210520.txt,1021162,670350.0,0.00018945328
10K/1021270-10-K-20210402.txt,1021270,147039.0,0.0019110576
10K/1021435-10-K-20210331.txt,1021435,40442.0,0.0004945354
10K/1021561-10-K-20210211.txt,1021561,209251.0,0.00025328432
10K/1021604-10-K-20210331.txt,1021604,115434.0,0.0014553771
10K/1021635-10-K-20210225.txt,1021635,317679.0,0.00060123584
10K/1021860-10-K-20210212.txt,1021860,235222.0,0.00034860685
10K/1022079-10-K-20210222.txt,1022079,182520.0,0.0015231208
10K/102212-10-K-20210226.txt,102212,352725.0,0.00022680558
10K/1022321-10-K-20210301.txt,1022321,255831.0,0.0005159656
10K/1022344-10-K-20210225.txt,1022344,733182.0,0.0002741475
10K/1022408-10-K-20210521.txt,1022408,155088.0,0.0007673063
10K/1022652-10-K-20210301.txt,1022652,167309.0,0.00043631843
10K/1022671-10-K-20210301.txt,1022671,194478.0,0.00034451197
10K/1022899-10-K-20210325.txt,1022899,282747.0,0.00019098345
10K/1023024-10-K-20210311.txt,1023024,188879.0,0.0006988601
10K/1023128-10-K-20210219.txt,1023128,274199.0,6.929274e-05
10K/1023313-10-K-20210311.txt,1023313,509567.0,0.00023745651
10K/1023364-10-K-20210311.txt,0.0,0.0,0.0
10K/1023458-10-K-20210330.txt,1023458,35921.0,0.0030622755
10K/1023731-10-K-20210517.txt,1023731,189822.0,0.00036876652
10K/1023994-10-K-20210415.txt,1023994,157834.0,0.0016282931
10K/1024095-10-K-20210406.txt,1024095,6634.0,0.001205909
10K/1024725-10-K-20210224.txt,1024725,351746.0,0.00044065889
10K/1024795-10-K-20210302.txt,1024795,221768.0,0.0005771798
10K/1025378-10-K-20210212.txt,1025378,388181.0,0.00044566838
10K/10254-10-K-20210310.txt,10254,188158.0,0.0002710488
10K/1025771-10-K-20210317.txt,1025771,107007.0,0.0
10K/1025835-10-K-20210219.txt,1025835,276684.0,0.00029636698
10K/1025953-10-K-20210304.txt,1025953,50212.0,0.0011351868
10K/1025996-10-K-20210212.txt,1025996,315543.0,0.0007162257
10K/1026214-10-K-20210211.txt,1026214,1911688.0,0.0002474253
